"term";"estimate";"std.error";"statistic";"p.value";"conf.low";"conf.high";"case";"model";"null.deviance";"df.null";"logLik";"AIC";"BIC";"deviance";"df.residual";"nobs";"dependent";"cause"
"1";"(Intercept)";0.00465904359154854;0.129601350207592;-41.4266138522016;0;0.00361610500804826;0.00600246085133113;"10% in each extreme of PM2.5 excluded";"deathsAdj_AllCauses.rsd";200.035833934619;82;-402.068832554757;834.137665109514;870.420274226463;76.1472784533041;69;83;"deathsAdj_AllCauses";"All Causes (A00-Q99)"
"2";"mp25_10um";1.08141376062402;0.0535241997696282;1.46231467345764;0.143654999364407;0.973985545630798;1.200708453804;"10% in each extreme of PM2.5 excluded";"deathsAdj_AllCauses.rsd";200.035833934619;82;-402.068832554757;834.137665109514;870.420274226463;76.1472784533041;69;83;"deathsAdj_AllCauses";"All Causes (A00-Q99)"
"3";"scale(urbanDensity)";0.985016077424605;0.0147090865528924;-1.02639383013246;0.304705985095044;0.9570054282854;1.01384638450219;"10% in each extreme of PM2.5 excluded";"deathsAdj_AllCauses.rsd";200.035833934619;82;-402.068832554757;834.137665109514;870.420274226463;76.1472784533041;69;83;"deathsAdj_AllCauses";"All Causes (A00-Q99)"
"4";"scale(perc_female)";1.00206876031132;0.0181166584400127;0.114073099090026;0.909179846815524;0.966681369626276;1.0385286031992;"10% in each extreme of PM2.5 excluded";"deathsAdj_AllCauses.rsd";200.035833934619;82;-402.068832554757;834.137665109514;870.420274226463;76.1472784533041;69;83;"deathsAdj_AllCauses";"All Causes (A00-Q99)"
"5";"scale(perc_ethnicityOrig)";0.996670686459234;0.0163126412772489;-0.204434584214759;0.838013906523944;0.965438677305092;1.02888143949157;"10% in each extreme of PM2.5 excluded";"deathsAdj_AllCauses.rsd";200.035833934619;82;-402.068832554757;834.137665109514;870.420274226463;76.1472784533041;69;83;"deathsAdj_AllCauses";"All Causes (A00-Q99)"
"6";"scale(perc_rural)";1.00430038753931;0.0288546948521145;0.148716433117794;0.8817773936857;0.948878260055869;1.06270912093723;"10% in each extreme of PM2.5 excluded";"deathsAdj_AllCauses.rsd";200.035833934619;82;-402.068832554757;834.137665109514;870.420274226463;76.1472784533041;69;83;"deathsAdj_AllCauses";"All Causes (A00-Q99)"
"7";"scale(perc_woodHeating)";0.972295009035239;0.0361526952129899;-0.777148513195971;0.437071154625532;0.905772033025592;1.04365618222553;"10% in each extreme of PM2.5 excluded";"deathsAdj_AllCauses.rsd";200.035833934619;82;-402.068832554757;834.137665109514;870.420274226463;76.1472784533041;69;83;"deathsAdj_AllCauses";"All Causes (A00-Q99)"
"8";"scale(log(income_median))";0.986771185403493;0.0225143638145336;-0.59149327513591;0.554189959691637;0.94432614203591;1.03114323768808;"10% in each extreme of PM2.5 excluded";"deathsAdj_AllCauses.rsd";200.035833934619;82;-402.068832554757;834.137665109514;870.420274226463;76.1472784533041;69;83;"deathsAdj_AllCauses";"All Causes (A00-Q99)"
"9";"scale(perc_less_highschool)";0.932854890207836;0.0268531129187466;-2.58836361970639;0.00964331247032949;0.884977167145668;0.983327663072021;"10% in each extreme of PM2.5 excluded";"deathsAdj_AllCauses.rsd";200.035833934619;82;-402.068832554757;834.137665109514;870.420274226463;76.1472784533041;69;83;"deathsAdj_AllCauses";"All Causes (A00-Q99)"
"10";"scale(perc_fonasa_AB)";1.06598816069918;0.0270593467890642;2.36155809281608;0.0181983204307765;1.0109182509243;1.12402562332747;"10% in each extreme of PM2.5 excluded";"deathsAdj_AllCauses.rsd";200.035833934619;82;-402.068832554757;834.137665109514;870.420274226463;76.1472784533041;69;83;"deathsAdj_AllCauses";"All Causes (A00-Q99)"
"11";"scale(perc_fonasa_CD)";1.04002742821822;0.0122024129240563;3.21633814037662;0.0012983775096411;1.01554326754572;1.06507157948392;"10% in each extreme of PM2.5 excluded";"deathsAdj_AllCauses.rsd";200.035833934619;82;-402.068832554757;834.137665109514;870.420274226463;76.1472784533041;69;83;"deathsAdj_AllCauses";"All Causes (A00-Q99)"
"12";"scale(perc_overcrowding_medium)";1.05721370337504;0.0186445248841756;2.98408599634696;0.00284426819690812;1.01963536620941;1.09622781158187;"10% in each extreme of PM2.5 excluded";"deathsAdj_AllCauses.rsd";200.035833934619;82;-402.068832554757;834.137665109514;870.420274226463;76.1472784533041;69;83;"deathsAdj_AllCauses";"All Causes (A00-Q99)"
"13";"scale(hr_anual)";1.01982616658465;0.0255785037664348;0.76752682777924;0.442768348784749;0.969969100210663;1.07225113453097;"10% in each extreme of PM2.5 excluded";"deathsAdj_AllCauses.rsd";200.035833934619;82;-402.068832554757;834.137665109514;870.420274226463;76.1472784533041;69;83;"deathsAdj_AllCauses";"All Causes (A00-Q99)"
"14";"scale(heating_degree_15_winter)";1.01094996444637;0.0154688973098284;0.704022235361199;0.481418926496912;0.980714847248627;1.04211622480501;"10% in each extreme of PM2.5 excluded";"deathsAdj_AllCauses.rsd";200.035833934619;82;-402.068832554757;834.137665109514;870.420274226463;76.1472784533041;69;83;"deathsAdj_AllCauses";"All Causes (A00-Q99)"
"15";"(Intercept)";0.00143944907062283;0.153403035231808;-42.6555760031588;0;0.00106642161088792;0.00194575604167339;"10% in each extreme of PM2.5 excluded";"deathsAdj_CAN.rsd";108.502169444482;82;-294.962254811078;619.924509622157;656.207118739106;54.1681452125485;69;83;"deathsAdj_CAN";"CAN"
"16";"mp25_10um";1.01144203551014;0.0632221408555465;0.179953895151383;0.857188763557589;0.893184883270991;1.14438660465197;"10% in each extreme of PM2.5 excluded";"deathsAdj_CAN.rsd";108.502169444482;82;-294.962254811078;619.924509622157;656.207118739106;54.1681452125485;69;83;"deathsAdj_CAN";"CAN"
"17";"scale(urbanDensity)";0.961579904840608;0.015318457375379;-2.5575429749761;0.0105414531904535;0.933135935514353;0.990885461891791;"10% in each extreme of PM2.5 excluded";"deathsAdj_CAN.rsd";108.502169444482;82;-294.962254811078;619.924509622157;656.207118739106;54.1681452125485;69;83;"deathsAdj_CAN";"CAN"
"18";"scale(perc_female)";1.01523941764215;0.0170552137680942;0.886794169490626;0.375189727268276;0.981902760454664;1.04979663296913;"10% in each extreme of PM2.5 excluded";"deathsAdj_CAN.rsd";108.502169444482;82;-294.962254811078;619.924509622157;656.207118739106;54.1681452125485;69;83;"deathsAdj_CAN";"CAN"
"19";"scale(perc_ethnicityOrig)";0.998650577253079;0.0175153086362041;-0.0770945043416258;0.938548364890471;0.964983497441511;1.03356667191788;"10% in each extreme of PM2.5 excluded";"deathsAdj_CAN.rsd";108.502169444482;82;-294.962254811078;619.924509622157;656.207118739106;54.1681452125485;69;83;"deathsAdj_CAN";"CAN"
"20";"scale(perc_rural)";0.984485628881485;0.0370607459336393;-0.421901340447085;0.673097031591714;0.915209912437621;1.05831888124201;"10% in each extreme of PM2.5 excluded";"deathsAdj_CAN.rsd";108.502169444482;82;-294.962254811078;619.924509622157;656.207118739106;54.1681452125485;69;83;"deathsAdj_CAN";"CAN"
"21";"scale(perc_woodHeating)";0.992753177170962;0.0424452266217059;-0.17135516007605;0.86394451030929;0.913398822231337;1.07874906467641;"10% in each extreme of PM2.5 excluded";"deathsAdj_CAN.rsd";108.502169444482;82;-294.962254811078;619.924509622157;656.207118739106;54.1681452125485;69;83;"deathsAdj_CAN";"CAN"
"22";"scale(log(income_median))";1.00297014838855;0.0236632027588915;0.125331564058809;0.900261064683821;0.957552776587297;1.05062535100964;"10% in each extreme of PM2.5 excluded";"deathsAdj_CAN.rsd";108.502169444482;82;-294.962254811078;619.924509622157;656.207118739106;54.1681452125485;69;83;"deathsAdj_CAN";"CAN"
"23";"scale(perc_less_highschool)";0.939254014730534;0.032263734294713;-1.94240752060458;0.0520877855839086;0.881615086265513;1.00047561634679;"10% in each extreme of PM2.5 excluded";"deathsAdj_CAN.rsd";108.502169444482;82;-294.962254811078;619.924509622157;656.207118739106;54.1681452125485;69;83;"deathsAdj_CAN";"CAN"
"24";"scale(perc_fonasa_AB)";1.06666681370729;0.0296559331245303;2.17624779220872;0.0295367370326204;1.00653440637371;1.13061676805786;"10% in each extreme of PM2.5 excluded";"deathsAdj_CAN.rsd";108.502169444482;82;-294.962254811078;619.924509622157;656.207118739106;54.1681452125485;69;83;"deathsAdj_CAN";"CAN"
"25";"scale(perc_fonasa_CD)";1.03379130944618;0.0133029418234744;2.49816377223364;0.0124838504975754;1.0072159961906;1.0611340725288;"10% in each extreme of PM2.5 excluded";"deathsAdj_CAN.rsd";108.502169444482;82;-294.962254811078;619.924509622157;656.207118739106;54.1681452125485;69;83;"deathsAdj_CAN";"CAN"
